"attrition","age","gender","marital_status","department","job_role","job_level","job_involvement","job_satisfaction","education","education_field","business_travel","standard_hours","over_time","monthly_income"
"Leave",41,"female","single","sales","sales_executive",2,3,4,"College","life_sciences","travel_rarely",80,"yes",5993
"Stay",49,"male","married","research_development","research_scientist",2,2,2,"Below College","life_sciences","travel_frequently",80,"no",5130
"Leave",37,"male","single","research_development","laboratory_technician",1,2,3,"College","other","travel_rarely",80,"yes",2090
"Stay",33,"female","married","research_development","research_scientist",1,3,3,"Master","life_sciences","travel_frequently",80,"yes",2909
"Stay",27,"male","married","research_development","laboratory_technician",1,3,2,"Below College","medical","travel_rarely",80,"no",3468
"Stay",32,"male","single","research_development","laboratory_technician",1,3,4,"College","life_sciences","travel_frequently",80,"no",3068
"Stay",59,"female","married","research_development","laboratory_technician",1,4,1,"Bachelor","medical","travel_rarely",80,"yes",2670
"Stay",30,"male","divorced","research_development","laboratory_technician",1,3,3,"Below College","life_sciences","travel_rarely",80,"no",2693
"Stay",38,"male","single","research_development","manufacturing_director",3,2,3,"Bachelor","life_sciences","travel_frequently",80,"no",9526
"Stay",36,"male","married","research_development","healthcare_representative",2,3,3,"Bachelor","medical","travel_rarely",80,"no",5237
"Stay",35,"male","married","research_development","laboratory_technician",1,4,2,"Bachelor","medical","travel_rarely",80,"no",2426
"Stay",29,"female","single","research_development","laboratory_technician",2,2,3,"College","life_sciences","travel_rarely",80,"yes",4193
"Stay",31,"male","divorced","research_development","research_scientist",1,3,3,"Below College","life_sciences","travel_rarely",80,"no",2911
"Stay",34,"male","divorced","research_development","laboratory_technician",1,3,4,"College","medical","travel_rarely",80,"no",2661
"Leave",28,"male","single","research_development","laboratory_technician",1,2,3,"Bachelor","life_sciences","travel_rarely",80,"yes",2028
"Stay",29,"female","divorced","research_development","manufacturing_director",3,4,1,"Master","life_sciences","travel_rarely",80,"no",9980
"Stay",32,"male","divorced","research_development","research_scientist",1,4,2,"College","life_sciences","travel_rarely",80,"yes",3298
"Stay",22,"male","divorced","research_development","laboratory_technician",1,4,4,"College","medical","non_travel",80,"yes",2935
"Stay",53,"female","married","sales","manager",4,2,4,"Master","life_sciences","travel_rarely",80,"no",15427
"Stay",38,"male","single","research_development","research_scientist",1,3,4,"Bachelor","life_sciences","travel_rarely",80,"yes",3944
"Stay",24,"female","divorced","research_development","manufacturing_director",2,4,3,"College","other","non_travel",80,"no",4011
"Leave",36,"male","single","sales","sales_representative",1,2,1,"Master","life_sciences","travel_rarely",80,"no",3407
"Stay",34,"female","single","research_development","research_director",3,3,2,"Master","life_sciences","travel_rarely",80,"no",11994
"Stay",21,"male","single","research_development","research_scientist",1,3,4,"College","life_sciences","travel_rarely",80,"no",1232
"Leave",34,"male","single","research_development","research_scientist",1,3,1,"Below College","medical","travel_rarely",80,"no",2960
"Stay",53,"female","divorced","research_development","manager",5,3,3,"Bachelor","other","travel_rarely",80,"no",19094
"Leave",32,"female","single","research_development","research_scientist",1,1,1,"Below College","life_sciences","travel_frequently",80,"yes",3919
"Stay",42,"male","married","sales","sales_executive",2,3,2,"Master","marketing","travel_rarely",80,"no",6825
"Stay",44,"female","married","research_development","healthcare_representative",3,2,4,"Master","medical","travel_rarely",80,"no",10248
"Stay",46,"female","single","sales","manager",5,3,1,"Master","marketing","travel_rarely",80,"no",18947
"Stay",33,"male","single","research_development","laboratory_technician",1,3,4,"Bachelor","medical","travel_rarely",80,"no",2496
"Stay",44,"male","married","research_development","healthcare_representative",2,3,4,"Master","other","travel_rarely",80,"yes",6465
"Stay",30,"male","single","research_development","laboratory_technician",1,2,3,"College","medical","travel_rarely",80,"no",2206
"Leave",39,"male","married","sales","sales_representative",2,3,4,"Bachelor","technical_degree","travel_rarely",80,"no",2086
"Leave",24,"male","married","research_development","research_scientist",1,3,4,"Bachelor","medical","travel_rarely",80,"yes",2293
"Stay",43,"female","divorced","research_development","research_scientist",1,4,3,"College","medical","travel_rarely",80,"no",2645
"Leave",50,"male","married","sales","sales_representative",1,2,3,"College","marketing","travel_rarely",80,"yes",2683
"Stay",35,"female","married","sales","sales_representative",1,3,4,"Bachelor","marketing","travel_rarely",80,"no",2014
"Stay",36,"female","married","research_development","research_scientist",1,2,1,"Master","life_sciences","travel_rarely",80,"yes",3419
